"genres","mean ( runtime (min) )"
"Action, Animation, Adventure, Comedy, Fantasy, Science Fiction","50"
"Animation, Adventure, Action, Fantasy","50"
"Music","50"
"Animation, Action, Science Fiction","48.666666666666664"
"Animation, Adventure, Action, Fantasy, Family","48"
"Animation, Action, Science Fiction, Drama, Fantasy","48"
"Animation, Action, Comedy","47"
"Documentary","46"
"Action, Animation, Science Fiction","46"
"Drama","45.666666666666664"
"Animation, Comedy","45"
"TV Movie, Family, Comedy, Horror, Animation","45"
"Adventure, Action, Animation, Science Fiction","45"
"Comedy, Science Fiction, Adventure","45"
"Animation, Comedy, Science Fiction","44"