"runtime (min)","mean ( popularity )"
"0 - 10","12.336855769230768"
"10 - 20","10.55886"
"20 - 30","10.097338461538461"
"30 - 40","11.458435714285715"
"40 - 50","28.099909523809526"
"50 - 60","9.803582608695653"
"60 - 70","11.487361224489797"
"70 - 80","12.1128"
"80 - 90","14.020752021563341"
"90 - 100","14.319675930521091"
"100 - 110","15.155028467153285"
"110 - 120","15.656996721311476"
"120 - 130","14.879507534246574"
"130 - 140","16.72836283783784"
"140 - 150","18.180153642384106"
"150 - 160","18.28658028169014"
"160 - 170","22.631579545454546"
"170 - 180","15.626192592592592"
"180 - 190","19.249568749999998"
"190 - 200","22.139274999999998"
"200 - 210","11.025016666666666"
"210 - 220","13.235"
"220 - 230","13.67502"
"230 - 240","16.4978"
"240 - 250","13.657774999999999"
"250 - 260","11.4272"
"400 - 410","8.1015"
"480 - 490","8.6874"
"960 - 970","8.5186"